true_label,predicted_label
country,blues
rock,pop
country,blues
hiphop,disco
disco,hiphop
disco,rock
rock,country
blues,country
classical,jazz
pop,hiphop
reggae,disco
country,blues
rock,metal
pop,disco
hiphop,blues
metal,blues
disco,hiphop
reggae,rock
reggae,disco
rock,reggae
disco,pop
reggae,hiphop
rock,country
rock,jazz
disco,pop
country,rock
jazz,classical
reggae,rock
reggae,hiphop
reggae,hiphop
rock,jazz
disco,hiphop
metal,blues
blues,reggae
disco,jazz
classical,jazz
disco,reggae
blues,hiphop
disco,pop
country,rock
classical,jazz
metal,disco
rock,disco
country,reggae
blues,jazz
rock,country
rock,country
hiphop,disco
pop,reggae
